DESTINO,SEXO,INGRESO_$,ENDEUDAMIENTO,PROGRAMA,EDAD_AÑO,ENDEUDAMIENTO_%,MONTO_OTORGADO_$,Plazo_MESES
Construcción de vivienda,F,697.00,36.93,Clase social,18,36.93,"32,333.00",360
Construcción de vivienda,F,"1,136.00",40.98,Clase social,18,40.98,"25,926.00",240
Construcción de vivienda,F,"1,183.00",40.96,Clase social,18,40.96,"48,148.00",360
Construcción de vivienda,F,647.00,41.87,Clase social,23,41.87,"21,111.00",240
Construcción de vivienda,M,"2,506.00",39.28,Clase media,24,39.28,"78,685.00",360
Construcción de vivienda,F,"1,229.00",34.21,Clase social,24,34.21,"30,333.00",360
Construcción de vivienda,M,"1,150.00",52.08,Clase social,24,52.08,"31,473.00",360
Construcción de vivienda,M,570.00,38.20,Clase social,24,38.20,"30,717.00",360
Construcción de vivienda,M,"1,394.00",53.00,Clase social,24,53.00,"25,926.00",240
Construcción de vivienda,F,"2,485.00",33.99,Clase social,24,33.99,"29,630.00",360
Compra de vivienda,M,"3,741.00",33.32,Clase media,24,33.32,"148,148.00",360
Construcción de vivienda,F,"2,494.00",33.24,Clase social,25,33.24,"48,148.00",360
Construcción de vivienda,F,845.00,30.73,Clase social,25,30.73,"48,148.00",360
Construcción de vivienda,M,889.00,32.28,Clase social,25,32.28,"48,148.00",360
Construcción de vivienda,M,"2,302.00",38.28,Clase social,25,38.28,"32,222.00",360
Construcción de vivienda,F,748.00,41.32,Clase social,25,41.32,"34,130.00",360
Construcción de vivienda,F,778.00,50.65,Clase social,25,50.65,"31,667.00",300
Construcción de vivienda,M,653.00,36.09,Clase social,25,36.09,"31,667.00",360
Construcción de vivienda,F,926.00,33.07,Clase social,25,33.07,"48,148.00",360
Construcción de vivienda,M,826.00,51.52,Clase social,25,51.52,"25,926.00",240
Compra de vivienda,F,"2,024.00",28.46,Clase social,25,28.46,"27,778.00",360
Compra de vivienda,F,"1,067.00",33.26,Clase social,25,33.26,"47,222.00",360
Compra de vivienda,F,"1,370.00",41.86,Clase media,26,41.86,"42,101.00",360
Construcción de vivienda,M,"1,463.00",50.88,Clase social,26,50.88,"30,333.00",240
Construcción de vivienda,M,"1,665.00",53.61,Clase social,26,53.61,"28,148.00",240
Construcción de vivienda,M,703.00,45.82,Clase social,26,45.82,"30,752.00",300
Construcción de vivienda,M,"1,328.00",46.51,Clase social,26,46.51,"29,630.00",240
Compra de vivienda,M,"2,381.00",37.54,Clase media,26,37.54,"117,500.00",360
Construcción de vivienda,M,779.00,31.66,Clase media,26,31.66,"148,148.00",360
Construcción de vivienda,F,"1,345.00",53.48,Clase social,26,53.48,"34,130.00",360
Construcción de vivienda,M,"1,481.00",37.31,Clase social,26,37.31,"33,778.00",360
Construcción de vivienda,M,"1,862.00",53.65,Clase social,26,53.65,"25,926.00",240
Construcción de vivienda,M,"1,891.00",33.88,Clase social,26,33.88,"32,000.00",360
Construcción de vivienda,M,"1,761.00",31.47,Clase social,26,31.47,"29,630.00",360
Construcción de vivienda,F,964.00,40.70,Clase social,26,40.70,"48,148.00",360
Compra de vivienda,F,"1,940.00",44.54,Clase media,26,44.54,"80,741.00",360
