ingreso_$,endeudamiento,prestamo_$,programa,plazo
1100,47.35,48148,Clase social,360
833,37.98,48148,Clase social,360
815,31.22,37037,Clase media,360
1111,37.98,48145,Clase social,360
847,47.35,43253,Clase social,360
1183,40.96,48148,Clase social,360
2570,38.57,114573,Clase media,360
1194,31.96,45556,Clase social,336
1111,42.40,48148,Clase social,264
1037,25.14,48148,Clase social,360
1408,33.25,48148,Clase social,360
1333,25.39,48148,Clase social,360
1088,21.93,48148,Clase social,360
946,36.97,40419,Clase social,360
1296,53.50,48148,Clase social,360
1058,37.61,48148,Clase social,304
1284,39.30,48148,Clase social,360
2752,54.61,140755,Clase media,330
963,36.09,48148,Clase social,360
859,54.94,48148,Clase social,360
817,50.08,48148,Clase social,360
819,32.56,48148,Clase social,360
870,35.39,48148,Clase social,360
1052,28.76,48148,Clase social,360
971,52.20,48148,Clase social,288
930,40.52,48148,Clase social,360
926,25.10,48148,Clase social,360
941,32.72,48148,Clase social,360
815,30.90,48148,Clase social,360
1114,23.34,37037,Clase social,299
1023,46.63,48148,Clase social,360
852,31.66,48148,Clase social,360
1123,25.16,48148,Clase social,360
1037,23.42,48148,Clase social,360
1285,25.92,48148,Clase social,360
1025,48.34,47037,Clase social,360
1296,21.05,48148,Clase social,360
1079,30.68,48148,Clase social,360
1074,52.70,42593,Clase social,360
1097,23.34,37037,Clase social,360
889,29.28,48148,Clase social,360
964,40.70,48148,Clase social,360
963,37.40,48148,Clase social,360
2683,57.84,118519,Clase media,360
844,55.31,48148,Clase social,360
963,43.11,48148,Clase social,360
1037,31.83,48148,Clase social,360
1277,48.36,48148,Clase social,360
822,41.55,48148,Clase social,360
981,47.85,48148,Clase social,360
1187,39.13,48148,Clase social,324
902,53.79,48148,Clase social,360
1114,52.27,38856,Clase social,360
1562,46.86,64593,Clase media,360
918,44.96,48143,Clase social,360
900,30.24,48148,Clase social,360
1144,52.06,47936,Clase social,240
1019,41.24,48148,Clase social,360
796,47.69,48141,Clase social,276
1898,35.74,90000,Clase media,360
859,32.35,48148,Clase social,360
1064,36.33,48148,Clase media,360
5016,26.45,89115,Clase media,360
845,28.73,48148,Clase social,360
3037,56.53,146296,Clase media,360
1960,42.52,102071,Clase media,360
982,67.00,48148,Clase social,360
3004,50.51,128741,Clase media,360
2778,41.56,148148,Clase media,360
2902,40.88,140000,Clase media,360
1404,43.15,70370,Clase media,360
948,41.79,48148,Clase social,360
3741,33.32,148148,Clase media,360
1614,52.06,63230,Clase media,360
1333,43.91,54815,Clase media,360
852,40.97,48102,Clase social,360
913,35.00,48099,Clase social,360
1940,44.54,80741,Clase media,360
1381,46.16,49954,Clase media,300
1303,40.40,70178,Clase media,360
4201,48.91,144444,Clase media,240
921,57.20,64815,Clase media,360
1030,28.79,48148,Clase social,360
2239,42.55,80926,Clase media,360
773,48.74,46296,Clase social,288
816,53.02,48148,Clase social,360
1840,43.33,90471,Clase media,360
1481,34.82,63881,Clase media,360
815,86.41,75940,Clase media,360
3519,37.89,147101,Clase media,360
1270,38.49,48148,Clase social,360
2918,35.20,133333,Clase media,360
6302,53.10,146274,Clase media,180
1333,93.33,144444,Clase media,360
923,26.12,48148,Clase social,360
4890,50.96,124146,Clase media,360
1089,30.36,48148,Clase social,360
5090,47.21,130108,Clase media,360
1577,48.76,71033,Clase media,360
1259,35.34,66617,Clase media,360
1333,63.16,107385,Clase media,360
1292,37.45,66623,Clase media,324
1718,22.55,48148,Clase media,360
821,48.30,48148,Clase social,360
2426,70.82,148148,Clase media,270
1037,45.38,48148,Clase social,360
1426,39.90,62963,Clase media,360
2170,28.06,60380,Clase media,360
881,56.00,48148,Clase social,360
900,32.61,48148,Clase social,347
1105,50.39,47885,Clase social,360
1067,33.26,47222,Clase social,360
1259,81.43,80742,Clase media,360
979,39.81,48148,Clase social,360
1227,47.32,48148,Clase social,360
1037,97.47,63935,Clase media,360
893,38.60,48148,Clase social,360
948,31.32,48148,Clase social,360
1593,81.71,61939,Clase media,360
1252,42.25,48148,Clase social,360
3033,21.28,86056,Clase media,360
926,30.07,48148,Clase social,360
1481,31.99,50000,Clase media,360
3222,49.73,148131,Clase media,360
778,115.67,66593,Clase media,360
1384,41.19,63704,Clase media,360
1093,71.01,61111,Clase media,360
3468,23.37,110546,Clase media,306
1376,71.48,85185,Clase media,360
2500,50.97,145185,Clase media,360
1667,42.74,96112,Clase media,360
931,82.83,91771,Clase media,360
1669,51.26,78329,Clase media,360
2851,35.64,127723,Clase media,360
1115,45.15,48148,Clase social,360
815,38.57,37037,Clase social,360
3222,36.30,148086,Clase media,360
1260,46.90,61481,Clase media,360
689,47.33,40741,Clase social,360
1261,41.05,55605,Clase media,228
657,42.75,48148,Clase social,360
2963,49.50,148148,Clase media,300
992,43.34,48148,Clase social,360
1735,26.97,57037,Clase media,360
5073,49.97,111111,Clase media,360
2604,55.88,70370,Clase media,360
1037,25.89,48148,Clase social,336
2556,35.20,101000,Clase media,360
3281,29.30,144910,Clase media,360
1415,44.60,61741,Clase media,360
2531,34.44,88992,Clase media,240
822,42.30,48148,Clase social,360
4444,50.99,147702,Clase media,360
1647,35.52,85351,Clase media,360
759,41.65,38519,Clase social,240
3086,40.03,145606,Clase media,240
1481,32.51,57593,Clase media,360
1881,38.98,88889,Clase media,360
1997,25.18,70169,Clase media,360
1167,28.88,48148,Clase media,360
1845,40.50,98939,Clase media,360
1291,47.99,55333,Clase media,360
2472,44.99,148072,Clase media,360
4847,34.96,148148,Clase media,360
